SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes,Rate_Level,Available_Stock,New_Stock_Status,Stock_Status,Reorder_Flag,Stockout_Risk,Coverage_Gap,Risk_Level,Inventory_Turnover,Turnover_Category,Demand_Supply_Ratio,Supplier_Risk,Supplier_Risk_Level,Inventory_Risk,SC_Risk_Score,Supplier_Class,Warehouse_Stock_Imbalance,Warehouse_Imbalance_Level,Optimization_Score
SKU0001,Pantry Product 13,Pantry,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH2679,14/07/2025,01/06/2025,25/04/2027,57,359,100,36,0,0,28.57,9710,12.57,28.57,22,1,$5.81,$5.71,"$2,084.25",2.39,5,0.7068,FIFO,In Stock,0,26/06/2025,-7.14%,95.67%,No Notes,Low,223,In Stock,Low,FALSE,FALSE,0,Low Risk,29.04749304,Fast Moving,0.079582173,0.29,Low,0,0.29,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0002,Fresh Product 112,Fresh Produce,C,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH4257,08/04/2025,22/02/2025,11/04/2025,154,314,64,0,0,1,34.99,7960,8.97,489.86,254,14,$1.45,$1.33,$456.71,3.34,12,0.8461,FEFO,Low Stock,4,12/08/2025,2.15%,86.00%,No Notes,Medium,250,In Stock,Critical,TRUE,TRUE,5.03,Medium Risk,40.67308917,Fast Moving,0.111433121,2.15,Medium,5.03,7.18,B - Normal,206.5718724,High Variation (~206),18.06
SKU0003,Meat Product 446,Meat,B,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH6574,15/03/2025,26/02/2025,02/04/2025,178,485,28,62,3,1,36.55,1377,13.27,146.2,79,4,$1.86,$1.69,$902.63,2.26,11,0.8536,FIFO,Expiring Soon,-5,13/08/2025,6.85%,87.64%,No Notes,Low,392,In Stock,Low,FALSE,FALSE,0,Low Risk,27.50670103,Fast Moving,0.075360825,0.59,Low,0,0.59,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0004,Seafood Product 48,Seafood,A,S007,PT Bakerindo,WHJKT,Jakarta - Cengkareng,BATCH5333,10/06/2025,20/04/2025,18/06/2025,91,281,92,49,0,0,25.49,7160,11.02,101.96,60,4,$14.50,$14.12,"$4,073.15",2.72,10,0.7281,FIFO,Expiring Soon,0,13/07/2025,-6.69%,71.15%,No Notes,Low,140,In Stock,Low,FALSE,FALSE,0,Low Risk,33.10978648,Fast Moving,0.090711744,1.09,Low,0,1.09,A - Good,213.1579776,Very Uneven (~213+),0
SKU0005,Personal Product 194,Personal Care,A,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH6925,26/06/2025,21/05/2025,03/01/2030,75,235,63,33,0,2,17.05,5180,13.78,51.15,29,3,$9.46,$10.31,"$2,222.91",2.18,2,0.7093,FIFO,In Stock,-5,11/06/2025,1.23%,76.25%,High return rate,Low,139,In Stock,Low,FALSE,FALSE,0,Low Risk,26.48191489,Fast Moving,0.072553191,0.87,Low,0,0.87,A - Good,206.5718724,High Variation (~206),0
SKU0006,Beverages Product 41,Beverages,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH8428,04/06/2025,25/04/2025,25/12/2027,97,446,66,31,1,1,32.81,1058,13.59,229.67,119,7,$5.16,$5.86,"$2,303.14",2.21,7,0.7644,FEFO,In Stock,-4,20/08/2025,1.98%,71.23%,No Notes,Low,348,In Stock,Low,FALSE,FALSE,0,Low Risk,26.85123318,Fast Moving,0.073565022,1.65,Low,0,1.65,A - Good,213.1579776,Very Uneven (~213+),0
SKU0007,Dairy Product 137,Dairy,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH9751,31/03/2025,13/02/2025,12/04/2025,162,368,87,118,0,0,53.35,1521,6.9,106.7,62,2,$2.13,$2.36,$784.87,4.35,13,0.9782,FIFO,Expiring Soon,0,20/08/2025,7.21%,68.44%,No Notes,Medium,163,In Stock,Critical,FALSE,FALSE,0,Medium Risk,52.91508152,Very Fast Moving,0.144972826,0.04,Low,0,0.04,A - Good,206.5718724,High Variation (~206),0
SKU0008,Meat Product 474,Meat,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH1916,18/03/2025,04/03/2025,02/04/2025,175,135,73,32,0,1,21.71,4690,6.22,43.42,23,2,$4.89,$5.62,$660.64,4.82,9,0.9369,FIFO,Expiring Soon,-5,31/07/2025,-4.66%,73.11%,No Notes,Medium,30,Low,Critical,FALSE,FALSE,0,Medium Risk,58.69740741,Very Fast Moving,0.160814815,0.13,Low,0,0.13,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0009,Fresh Product 468,Fresh Produce,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH9179,17/07/2025,22/06/2025,30/07/2025,54,1,126,83,0,0,78.76,1975,0.01,236.28,121,3,$1.33,$1.40,"$1,562.93",2.02,22,0.8141,FEFO,Expiring Soon,1,22/08/2025,3.55%,84.52%,No Notes,Low,-208,Out of Stock,Critical,TRUE,TRUE,2.99,High Risk,28747.4,Very Fast Moving,78.76,0.56,Low,2.99,3.55,A - Good,199.2482854,High Variation (~206),13.98
SKU0010,Meat Product 288,Meat,C,S009,PT Beverage Nusantara,WHSBY,Surabaya - Sidoarjo,BATCH7543,13/04/2025,21/03/2025,01/05/2025,149,49,12,16,0,0,7.23,1760,6.78,50.61,34,7,$11.34,$11.67,$555.45,4.43,9,0.8713,FIFO,Low Stock,-3,23/08/2025,-4.78%,70.60%,No Notes,Medium,21,Low,Critical,TRUE,TRUE,0.22,Medium Risk,53.85612245,Very Fast Moving,0.14755102,0.9,Low,0.22,1.12,A - Good,199.2482854,High Variation (~206),8.44
